model,condition,gold_frame,total,correct,accuracy
flan_t5_base,guided,Abandonment,10,10,1.0
flan_t5_base,guided,Abounding_with,10,0,0.0
flan_t5_base,guided,Absorb_heat,10,0,0.0
flan_t5_base,guided,Abundance,10,8,0.8
flan_t5_base,guided,Abusing,10,7,0.7
flan_t5_base,guided,Accompaniment,10,0,0.0
flan_t5_base,guided,Accomplishment,10,1,0.1
flan_t5_base,guided,Accoutrements,10,0,0.0
flan_t5_base,guided,Accuracy,10,10,1.0
flan_t5_base,guided,Achieving_first,10,0,0.0
flan_t5_base,guided,Active_substance,10,0,0.0
flan_t5_base,guided,Activity_done_state,7,0,0.0
flan_t5_base,guided,Activity_finish,10,0,0.0
flan_t5_base,guided,Activity_ongoing,10,0,0.0
flan_t5_base,guided,Activity_pause,10,0,0.0
flan_t5_base,guided,Activity_prepare,10,0,0.0
flan_t5_base,guided,Activity_ready_state,10,0,0.0
flan_t5_base,guided,Activity_resume,10,0,0.0
flan_t5_base,guided,Activity_start,10,0,0.0
flan_t5_base,guided,Activity_stop,10,0,0.0
flan_t5_base,zero_shot,Abandonment,10,10,1.0
flan_t5_base,zero_shot,Abounding_with,10,0,0.0
flan_t5_base,zero_shot,Absorb_heat,10,0,0.0
flan_t5_base,zero_shot,Abundance,10,8,0.8
flan_t5_base,zero_shot,Abusing,10,7,0.7
flan_t5_base,zero_shot,Accompaniment,10,0,0.0
flan_t5_base,zero_shot,Accomplishment,10,1,0.1
flan_t5_base,zero_shot,Accoutrements,10,0,0.0
flan_t5_base,zero_shot,Accuracy,10,10,1.0
flan_t5_base,zero_shot,Achieving_first,10,0,0.0
flan_t5_base,zero_shot,Active_substance,10,0,0.0
flan_t5_base,zero_shot,Activity_done_state,7,0,0.0
flan_t5_base,zero_shot,Activity_finish,10,0,0.0
flan_t5_base,zero_shot,Activity_ongoing,10,0,0.0
flan_t5_base,zero_shot,Activity_pause,10,0,0.0
flan_t5_base,zero_shot,Activity_prepare,10,0,0.0
flan_t5_base,zero_shot,Activity_ready_state,10,0,0.0
flan_t5_base,zero_shot,Activity_resume,10,0,0.0
flan_t5_base,zero_shot,Activity_start,10,0,0.0
flan_t5_base,zero_shot,Activity_stop,10,0,0.0
flan_t5_large,guided,Abandonment,10,10,1.0
